Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Bosch,Standard size dishwasher,SHX87PZZ**,SHVM88Z7**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHX87PZZ**,SHPM88Z7**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHP88PZ5**,SHV88PZ6**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHP88PZ5**,SHV88PZ5**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHP88PZ5**,SHE88PZ6**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SGX78B5***,SGE78B5***,269.0,3.5,13.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SPX68B5***,SPV68B5***,269.0,3.5,10.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SPX68B5***,SPE68B5***,269.0,3.5,10.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SPX68B5***,SPE53B5***,269.0,3.5,10.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SGE68U55UC,SGE68X5***,259.0,2.9,13.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SPX68U5###,SPV68U5###,259.0,2.9,9.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SPX68U5###,SPX68U5###,259.0,2.9,9.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SPX68U5###,SPE68U5###,259.0,2.9,9.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SPX68U5###,SPE53U5###,259.0,2.9,9.0,No,No,http://www.bshenergyguides.com
Gaggenau,Standard size dishwasher,DF481700*,DF480700*,269.0,3.5,13.0,No,No,http://www.bshenergyguides.com
Thermador,Standard size dishwasher,DWHD870***,DWHD870***,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Thermador,Standard size dishwasher,DWHD870***,DWHD770***,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Thermador,Standard size dishwasher,DWHD660***,DWHD771***,269.0,3.5,8.0,No,No,http://www.bshenergyguides.com
Thermador,Standard size dishwasher,DWHD660***,DWHD660***,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Thermador,Standard size dishwasher,DWHD660***,DWHD650***,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Thermador,Standard size dishwasher,DWHD770C**,DWHD770C**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHP9PCM**,SHX9PCM**,240.0,3.2,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE78CM**,SHX78CM**,240.0,3.2,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE78CM**,SHV78CM**,240.0,3.2,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE78CM**,SHP78CP**,240.0,3.2,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE78CM**,SHP78CM**,240.0,3.2,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE78CM**,SHE78CM**,240.0,3.2,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHP65CD**,SHE53CE**,240.0,3.2,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHP65CD**,SHP55CM**,240.0,3.2,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHP65CD**,SHP65CD**,240.0,3.2,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHX53CM**,SHV53CM**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHX53CM**,SHS53CM**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHX53CM**,SHS53CD**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE4AEM**,SHX4AEF**,269.0,3.5,14.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE4AEM**,SHX5AEM**,269.0,3.5,14.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE4AEM**,SHE3AEM**,269.0,3.5,14.0,No,No,http://www.bshenergyguides.com
Café,Standard size dishwasher,ZDT98***N*** (v7),CDT87***N***,240.0,3.2,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--putiVmyv--/b9xrrorr8saofx8w8nle.pdf?_ga=2.187207656.1389145736.1684199472-64752488.1683577526
Monogram,Standard size dishwasher,ZDT92***N***,ZDT98***N***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--G18TMPiF--/oo3swtvqjdfn0ct54kbj.pdf
GE Profile,Standard size dishwasher,PDT75***R*** (v7),PDT71***N***,240.0,3.2,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--putiVmyv--/b9xrrorr8saofx8w8nle.pdf?_ga=2.187207656.1389145736.1684199472-64752488.1683577526
GE Profile,Standard size dishwasher,PDT75***R*** (v7),PDP75***R***,240.0,3.2,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--putiVmyv--/b9xrrorr8saofx8w8nle.pdf?_ga=2.187207656.1389145736.1684199472-64752488.1683577526
GE,Standard size dishwasher,PDT75***R*** (v7),GDP66***N***,240.0,3.2,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--putiVmyv--/b9xrrorr8saofx8w8nle.pdf?_ga=2.187207656.1389145736.1684199472-64752488.1683577526
GE,Standard size dishwasher,PDT71***V***,GDT67***V***,240.0,3.2,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--s8p5UKlu--/puuw7esiljdsk3iqswmm
GE,Standard size dishwasher,PDT71***V***,GDP67***V***,240.0,3.2,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--s8p5UKlu--/puuw7esiljdsk3iqswmm
Monogram,Standard size dishwasher,PDT14***L***,ZDT16***L***,270.0,3.5,8.0,No,No,https://products-salsify.geappliances.com/image/upload/s--GjtWDTwh--/pvwxoevmvfv9bujjmdhq.pdf
Haier,Standard size dishwasher,PDT14***L***,QDT12***L***,270.0,3.5,8.0,No,No,https://products-salsify.geappliances.com/image/upload/s--GjtWDTwh--/pvwxoevmvfv9bujjmdhq.pdf
GE,Standard size dishwasher,GSD33**K****,GSD33**K****,270.0,3.5,12.0,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm
Hotpoint,Standard size dishwasher,GSD21**V****,HDA21**H****,307.0,5.0,12.0,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm
GE,Standard size dishwasher,GDT63***R*** (v7),GDT63***R***,240.0,3.2,10.0,No,No,https://products-salsify.geappliances.com/image/upload/s--jqQKNRfM--/cmmadxhlv6jzyhy4xpo4.pdf?_ga=2.187207656.1389145736.1684199472-64752488.1683577526
GE,Standard size dishwasher,GDT22***L***,GPT22***L***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--Fe9ZaI4R--/krbj9birx811uwgj5tm5.pdf
GE,Standard size dishwasher,GDT22***L***,GDT22***L***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--GjtWDTwh--/pvwxoevmvfv9bujjmdhq.pdf
GE,Standard size dishwasher,GDP64***N***,GDT64***N***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--G18TMPiF--/oo3swtvqjdfn0ct54kbj.pdf
GE,Standard size dishwasher,GDP64***N***,GDP66***N***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--G18TMPiF--/oo3swtvqjdfn0ct54kbj.pdf
GE,Standard size dishwasher,GDP64***N***,GDP64***N***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--G18TMPiF--/oo3swtvqjdfn0ct54kbj.pdf
GE,Standard size dishwasher,GDF63***M***,GDF64***M***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--J-W-Rcjz--/wvnvfne30u7fgezumltm.pdf
GE,Standard size dishwasher,GDF63***M***,GDF63***M***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--J-W-Rcjz--/wvnvfne30u7fgezumltm.pdf
GE,Standard size dishwasher,GDF63***M***,GDF53***M***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--J-W-Rcjz--/wvnvfne30u7fgezumltm.pdf
GE,Standard size dishwasher,GDF53***R***,GDF53***R***,270.0,3.5,10.0,No,No,https://products-salsify.geappliances.com/image/upload/s--J-W-Rcjz--/wvnvfne30u7fgezumltm.pdf
GE,Standard size dishwasher,GDF51***R*** (v7),GDT53***V***,240.0,3.2,10.0,No,No,https://products-salsify.geappliances.com/image/upload/s--VV4xA_Pu--/fbwy4ueo8eqx6qsgpbfg.pdf?_ga=2.146294644.1389145736.1684199472-64752488.1683577526
GE,Standard size dishwasher,GDF51***M***,GDT53***M***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--J-W-Rcjz--/wvnvfne30u7fgezumltm.pdf
GE,Standard size dishwasher,GDF51***M***,GDF51***M***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--J-W-Rcjz--/wvnvfne30u7fgezumltm.pdf
Crosley,Standard size dishwasher,GDF45***R*** (a),XDF25***R***,307.0,5.0,10.0,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm
GE,Standard size dishwasher,GDF45***R*** (a),HDF33***R***,307.0,5.0,10.0,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm
GE,Standard size dishwasher,GDF45***R*** (a),GDF45***R***,307.0,5.0,10.0,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm
Crosley,Standard size dishwasher,GDF45***R***,XDF25***R***,307.0,5.0,10.0,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm
Hotpoint,Standard size dishwasher,GDF45***R***,HDF33***R***,307.0,5.0,10.0,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm
Hotpoint,Standard size dishwasher,GDF45***R***,HDF31***R***,307.0,5.0,10.0,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm
GE Profile,Standard size dishwasher,CDT85***N***,PDT77***N***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--G18TMPiF--/oo3swtvqjdfn0ct54kbj.pdf
Café,Standard size dishwasher,CDT85***N***,CDT87***N***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--G18TMPiF--/oo3swtvqjdfn0ct54kbj.pdf
GE,Standard size dishwasher,CDT805**N***,DDT70***N***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--G18TMPiF--/oo3swtvqjdfn0ct54kbj.pdf
Café,Standard size dishwasher,CDT805**N***,CDT84***N***,270.0,3.5,12.0,No,No,https://products-salsify.geappliances.com/image/upload/s--G18TMPiF--/oo3swtvqjdfn0ct54kbj.pdf
IKEA,Standard size dishwasher,FDPC4314****,605.411.75**,240.0,3.2,12.0,No,No,By annual report date
Frigidaire,Standard size dishwasher,FDPC4314****,FDPH431L****,240.0,3.2,12.0,No,No,By annual report date
Frigidaire,Standard size dishwasher,FGIP2479SF1A,FGID2479****,240.0,3.2,14.0,No,No,https://d64w46yf2dsgq.cloudfront.net/FGID2479S_EG.pdf
Frigidaire,Standard size dishwasher,FGIP2479SF1A,FGIP2479****,240.0,3.2,14.0,No,No,https://d64w46yf2dsgq.cloudfront.net/FGIP2479S_EG.pdf
Frigidaire,Standard size dishwasher,GDPH4515,GDPP4515***A,270.0,3.5,12.0,No,No,https://d64w46yf2dsgq.cloudfront.net/GDPP4515A_EG.pdf
Frigidaire,Standard size dishwasher,FGID2479***A,FGIP2479***A,260.0,2.7,12.0,No,No,https://d64w46yf2dsgq.cloudfront.net/FGIP2479S_EG.pdf
Frigidaire,Standard size dishwasher,FGIP2479SF1A,FDSH450L****,240.0,3.2,14.0,No,No,https://d64w46yf2dsgq.cloudfront.net/FDSH450LA_EG.pdf
Frigidaire,Standard size dishwasher,FGIP2479SF1A,FGID2476****,240.0,3.2,14.0,No,No,https://d64w46yf2dsgq.cloudfront.net/FGID2476S_EG.pdf
Frigidaire,Standard size dishwasher,WQP8-7740-US,FFBD1831**,270.0,3.5,8.0,No,No,https://d64w46yf2dsgq.cloudfront.net/FFBD1831U_EG.pdf
Frigidaire,Standard size dishwasher,FFCD2413***A,FFCD2418***A,239.0,3.2,12.0,No,No,https://d64w46yf2dsgq.cloudfront.net/FFCD2413U_EG.pdf
Frigidaire,Standard size dishwasher,FBD2400***B,FBD2400***B,277.0,4.6,12.0,No,No,https://d64w46yf2dsgq.cloudfront.net/FBD2400_EG.pdf
Frigidaire,Standard size dishwasher,FDPC4221***A,FDPC4221***A,280.0,4.3,12.0,No,No,https://d64w46yf2dsgq.cloudfront.net/FDPC4221A_EG.pdf
Frigidaire,Standard size dishwasher,FGID2479***A,FGID2476***A,260.0,2.7,12.0,No,No,https://d64w46yf2dsgq.cloudfront.net/FGID2476S_EG.pdf
Frigidaire,Standard size dishwasher,FGID2479***A,FGID2479***A,260.0,2.7,12.0,No,No,https://d64w46yf2dsgq.cloudfront.net/FGID2479S_EG.pdf
Frigidaire,Standard size dishwasher,FGID2479***A,FPID2498***A,260.0,2.7,12.0,No,No,https://d64w46yf2dsgq.cloudfront.net/FPID2498S_EG.pdf
Frigidaire Gallery,Standard size dishwasher,PDSH4816,GDSP4715****,270.0,3.5,12.0,No,No,https://www.frigidaire.com/en/search/GDSP4715
Frigidaire Pro,Standard size dishwasher,PDSH4816,PDSH4816****,270.0,3.5,12.0,No,No,https://www.frigidaire.com/en/search/PDSH4816
Electrolux,Standard size dishwasher,WQP8-7740-US,EIDW1815**,270.0,3.5,8.0,No,No,https://d64w46yf2dsgq.cloudfront.net/EIDW1815U_EG.pdf
Electrolux,Standard size dishwasher,FGID2479***A,EDSH4944***A,260.0,2.7,12.0,No,No,https://d64w46yf2dsgq.cloudfront.net/EDSH4944A_EG.pdf
Electrolux,Standard size dishwasher,FGID2479***A,FFBD2420***A,260.0,2.7,12.0,No,No,https://d64w46yf2dsgq.cloudfront.net/FFBD2420U_EG.pdf
IKEA,Standard size dishwasher,GDPH4515,905.222.84*A,270.0,3.5,12.0,No,No,https://d64w46yf2dsgq.cloudfront.net/605.222.85A_EG.pdf
IKEA,Standard size dishwasher,FGID2466***A,804.655.85 * *,266.0,3.0,12.0,No,No,https://www.ikea.com/us/en/p/essentiell-built-in-dishwasher-black-stainless-steel-80465585/
IKEA,Standard size dishwasher,FGID2466***A,004.621.71 * *,266.0,3.0,12.0,No,No,https://www.ikea.com/us/en/p/essentiell-built-in-dishwasher-stainless-steel-00462171/
Rengjord,Standard size dishwasher,FGIP2479SF1A,905.045.72,240.0,3.2,14.0,No,No,https://d64w46yf2dsgq.cloudfront.net/905.045.72_EG.pdf
Avanti,Standard size dishwasher,DW21UT22N224,DWF18V**,250.0,3.2,10.0,No,No,http://www.avantiproducts.com
Avanti,Standard size dishwasher,DW21UT22N224 (Vestel),DWT18V3S,250.0,3.2,8.0,No,No,http://www.avantiproducts.com
MAGIC CLEAN,Standard size dishwasher,DW11UT22T124,MCDW24WI,260.0,3.4,10.0,No,No,http://www.avantiproducts.com
MAGIC CLEAN,Standard size dishwasher,DW11UT22T124,MCDW24SI,260.0,3.4,10.0,No,No,http://www.avantiproducts.com
Kenmore,Standard size dishwasher,1309*N***-06,1241*N***,260.0,2.7,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1309*N***-06,1309*N***,260.0,2.7,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1309*N***-06,1320*N***,260.0,2.7,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1309*N***-06,1347*N***,260.0,2.7,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1340*N***-04,1322*N***,270.0,3.0,12.0,No,No,https://www.kenmore.com/energyguide/
Maytag,Standard size dishwasher,MDB8989SH**-02,MDB7979SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8989SH**-03,MDB4949SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Kenmore,Standard size dishwasher,1340*N***-05,1354*N***,270.0,3.0,12.0,No,No,https://www.kenmore.com/energyguide/
Maytag,Standard size dishwasher,MDB8989SH**-03,MDB7979SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
KitchenAid,Standard size dishwasher,KDTE304LPA*,KDTE304LPA*,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Kenmore,Standard size dishwasher,1340*N***-07,1322*N***,270.0,3.0,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1340*N***-07,1354*N***,270.0,3.0,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1457*N***-01,1454*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1457*N***-01,1457*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
KitchenAid,Standard size dishwasher,KDTE334G***-01,KDPE334G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Maytag,Standard size dishwasher,MDB8989SH**-03,MDB8989SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8989SH**-04,MDB4949SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Kenmore,Standard size dishwasher,1457*N***-02,1457*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Whirlpool,Standard size dishwasher,ADB1300AF**-05,WDF120PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-05,WDF121PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-06,WDF120PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-06,WDF121PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-07,WDF130PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTE334G***-02,KDPE334G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-08,WDF120PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-08,WDF121PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-08,WDF130PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-09,WDF120PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-10,WDF120PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,ADB1300AF**-10,WDF121PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,ADB1300AF**-12,WDF120PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,ADB1300AF**-12,WDF121PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDTE704D***,KDTE704D***,260.0,2.9,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-12,WDF130PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDTM354D***-03,KDTM354D***,260.0,3.0,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM354D***-05,KDTM354D***,260.0,3.0,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-13,WDF130PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDTM404K***,KDFM404K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,ADB1500AD**-04,WDT705PAK**,270.0,3.0,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF330PAH**-03,WDF330PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF330PAH**-03,WDF331PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Kenmore,Standard size dishwasher,1457*N***-03,1471*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1474*N***-01,1470*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Whirlpool,Standard size dishwasher,WDF330PAH**-05,WDF330PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTM404K***-02,KDTM404K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM404K***-04,KDTM404K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM404K***-04,KDFM404K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM404K***-05,KDTM404K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM404K***-05,KDFM404K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM405P***,KDTM405P***,240.0,3.2,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804E***-03,KDTM354E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804E***-03,KDTM704E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804E***-03,KDTM804E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804E***-04,KDTM404E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804E***-04,KDTM504E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804E***-04,KDTM704E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDF330PAH**-08,WDF331PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDTM804E***-05,KDTM354E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***,KDPM604K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***,KDTM604K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDF332PAM**,WDF332PAM**,240.0,3.2,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***,KDPM704K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***,KDTM704K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***,KDTM704LPA*,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804K***-01,KDPM604K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804K***-01,KDTM704K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDF340PAM**,WDF340PAM**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***-01,KDTM804K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDF520PAD**-07,WDF320PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-07,WDF540PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-07,WDT720PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-08,WDF320PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-08,WDF520PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-09,WDF520PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-09,WDF540PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-09,WDT720PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-10,WDT720PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-11,WDF320PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-12,WDT720PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDTM804K***-02,KDTM604K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
